%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1627478091394474791,18090,1627478091382053376,base_link,-0.0147715912306,-0.0139688417667,0.972151848074,0.00126814469695,0.000101956073195,0.000940100057051
1627478091427735706,18091,1627478091382053376,base_link,-0.0147715912306,-0.0139688417667,0.972151848074,0.00126814469695,0.000101956073195,0.000940100057051
1627478091460799806,18092,1627478091449232320,base_link,-0.0148480651008,-0.0141042787135,0.972206423566,0.00117520499043,-0.000352072529495,-0.00151628465392
1627478091495510574,18093,1627478091449232320,base_link,-0.0148480651008,-0.0141042787135,0.972206423566,0.00117520499043,-0.000352072529495,-0.00151628465392
1627478091527804961,18094,1627478091482232320,base_link,-0.0148822507344,-0.0142237689176,0.972361854596,0.00164975621738,0.000319615472108,-0.000739326234907
1627478091560707104,18095,1627478091547232320,base_link,-0.0150955065935,-0.0144540742134,0.972702921651,0.00338858971372,-0.00058249104768,-0.000156069174409
1627478091594133959,18096,1627478091547232320,base_link,-0.0150955065935,-0.0144540742134,0.972702921651,0.00338858971372,-0.00058249104768,-0.000156069174409
1627478091628116278,18097,1627478091582232320,base_link,-0.0150754626524,-0.0145601577065,0.972829394518,0.00102667161264,-8.27005133033e-05,-0.000653897877783
1627478091660764777,18098,1627478091614232320,base_link,-0.0150024955275,-0.0145092802202,0.972921388318,-0.00149370660074,0.000146136153489,-0.000616485020146
1627478091694494848,18099,1627478091647232320,base_link,-0.0151323667106,-0.0146892409518,0.973019905706,0.00318384775892,0.000857059843838,0.000116460490972
1627478091730594289,18100,1627478091679232320,base_link,-0.0151679965665,-0.0148409033485,0.973140506975,-0.00221756682731,0.000730321276933,-0.000357643701136
1627478091761231245,18101,1627478091712232320,base_link,-0.0153757107101,-0.0150439576266,0.973314049692,0.00104770995677,0.000144932186231,0.000256390310824
1627478091794014497,18102,1627478091745232320,base_link,-0.0154275155619,-0.0152199572504,0.973645158594,0.0023464714177,-0.00106905633584,-9.50451940298e-05
